Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text,Processed Review Text,Processed Review Title
5,Subway,['Restaurant'],1.9,2023-08-05,Snigdh Singh,Trois personnes travaillent très bien à…,SUBWAY - Eat Fresh,Trois personnes travaillent très bien à l'apres midi.,personnel travail tre bien à mid,personnel travail tre bien
5,Bella Cosa Restaurant,['Restaurant'],4.5,2019-12-07,Mohamed Ibrahim,Arguably the best restaurant in Canary Wharf,"Bella Cosa is a stylish modern Italian restaurant at the heart of Canary Wharf overlooking South Dock. Serving a variety of pizza and pasta dishes in addition to Bella Cosa’s regional Italian specials, all using quality Italian ingredients.

The space has great views over the river and is perfect for family dinners, couple’s nights out and business lunches with space for group dining in the upstairs private dining room with a view.","Absolutely amazing! The quality of the food is beyond belief and will have your taste buds dancing for joy. The value was excellent compared to other prices we had seen and we found here the quality, value, and atmosphere during our stay.Definitely, we are going back to this wonderful place. Great for couples or a big group",absolut amaz qualiti food beyond belief tast bud danc joy valu excel compar price seen found qualiti valu atmospher go back wonder place great coupl big group,arguabl best restaur angri wharf
5,Panoramic 34,['Restaurant'],2.9,2021-06-30,Benn,Overall Fantastic,"Join us at Panoramic 34 for lunch, fine dining or cocktails and enjoy the magnificent Liverpool skyline as seen from one of the UK's highest restaurants.","Lovely views, fantastic food, very attentive staff. We were served by the lovely Daria, very informative and focused on service, not too fast but not waiting long either. She derserves full praise for taking care of us.",love view fantast food attent staff serv love maria inform focus servic fast wait long either deserv full prais take care us,overal fantast
5,Brouge restaurants,['Restaurant'],4.5,2017-11-28,customer,Really good food and helpful staff who …,"We are a friendly community bar restaurant with a modern and relaxed atmosphere offering delicious fresh food prepared daily.
Modern and cosy atmosphere and excellent service. 

Serving fresh food since 2005.",Really good food and helpful staff who only too happy to accommodate any dietary requirements where they can.,realli good food help staff happi accommod dietari requir,realli good food help staff
5,Sporting Targets,['Recreation centre'],4.9,2022-04-22,Mr Anthony Smallman,I enquired about purchasing an item,"One of the finest Clay Pigeon Shooting venues in the UK, offering corporate and club shooting, multi activity events, a gun shop, licenced bar and restaurant since 1990.","I enquired about purchasing an item, to my astonishment I had a reply very quickly, the staff are very informative and knowledgeable, pleasant and professional. Thank you John for your help",inquir purchas item astonish repli quickli staff inform knowledg pleasant profession thank john help,inquir purchas item
5,Dinggly,['Telecommunications equipment supplier'],4.7,2022-10-01,Catherina mc Gleenon,We use the Dinggly system within my…,"Dinggly’s wireless paging and call button systems make it extraordinarily easy for people to request the assistance of others.

Featuring cloud technologies, our range includes premium quality call buttons and virtual call buttons (driven by QR codes). Calls can be received on mobile phones, tablets, smartTVs, Dinggly wrist pagers, compatible smart-plugs, a computer browser or integrate with other software. 

Our call button paging systems work over your WiFi network so range is never an issue as long as a button is connected to WiFi. Staff can be on any WiFi or cellular network to receive the calls.

Dinggly call button paging systems are found in hotels, restaurants, offices, retailers, educational institutions and factories around the world.

Customers can configure and update their pager systems via a secure portal. Tasks such as changing the name of a call button or staff login names are easily performed.

The calling device, responder and response time are logged against every call. For those that want access to this data, Dinggalytics provides a rich pool to information to evaluate your system and operation.


The main benefits of a Dinggly paging system are: * Dinggly Call buttons are intelligent devices with 2-way communication. When someone presses the button, they see a blue light and hear a sound (optional). When the call is accepted on any device, the light changes to green, and a sound is heard, so the caller knows someone is on their way. * Dinggly receiving devices talk to one another - so when a receiving device accepts a call, it tells all the other devices which received the same call that the call is in hand, and who accepted the call. This avoids duplicated effort. * The calls can come through to alert any combination of mobile phones/tablets/desktops/laptops/Smart TV's and/or Dinggly supplied WiFi Wrist Pager watches. * Up to 3 levels of call escalation are available for calls which are not answered within a preset time delay. * Calls from Call buttons can be directed to different recipients based on call source and call type. * Due to the cloud architecture of the Dinggly system, there are no distance limitations to implementing the solution, as long as there is a WiFi signal where the Call Buttons and Dinggly WiFi Watches are used, and a WiFi or cellular signal where mobile receiving devices are used. * When the call button needs to be recharged, it sends out an email to one or more persons. * Dinggly offers a very high level of reliability as there are no on site servers which can fail, since all devices communicate with a central cloud based data centre.

Find out more about us at www.dinggly.com
",We use the Dinggly system within my Specsavers practice. It calls a staff member to assist the patient once the Optometrist has finished the eye examination.  It works really well in this setting and the Dinggly team have been superb yo deal with. Very easy to set up and the aftercare service is fantastic. I just send an email and the team responds quickly with a resolution.  I would thoroughly recommend Ed and his team.,use singli system within specsav practic call staff member assist patient optometrist finish eye examin work realli well set singli team superb deal easi set afterward servic fantast send email team respond quickli resolut would thoroughli recommend ed team,use singli system within
5,The House of Bruar,"['Clothing Shop', 'Homewares Shop', 'Restaurant']",4.5,2024-01-10,amanda carrivick,Good service,"Scottish country clothing specialists the House of Bruar enjoy a unique reputation for quality that extends throughout our clothing, produce and art collections.","Good service, nice quality and good value",good servic nice qualiti good valu,good servic
5,Caferouge,['Restaurant'],1.9,2021-12-01,41110  David G,A great all round experience at Cafe Rouge Ruislip,"Café Rouge - Bar, Restaurant and Café",From start to finish an excellent experience. Used a voucher so menu was limited but well sufficent. Well cooked and well served. Greeted nicely at door and the rest of the experienced matched that. A little friendly chat before we left was just right. Made to feel as if a customer is appreciated and would want to come back. If our experienced had been videod for training purposes I would be happy. My only complaint to them was their location was too far from my home to be regular. Rouge have closed too many but hopefully will build up again.I have read the bad reviews and I hope the management take note and ensure our experience should be the standard.,start finish excel experi use voucher menu limit well suffici well cook well serv greet nice door rest experienc match littl friendli chat left right made feel custom appreci would want come back experienc video train purpos would happi complaint locat far home regular rough close mani hope build read bad review hope manag take note ensur experi standard,great round experi cafe rough ruislip
5,Gourmet Guide,['Restaurant'],2.2,2018-08-28,Oliver Bradstock,Excellent customer service,"Discover the Best Restaurants Near You in the UK with the Gourmet Guide.  Search by food type, price, key features or a combination of factors to find the perfect restaurant for your needs requirements and budget.   

Or why not give the gift of a wonderful dining experience with one of our universal restaurant gift vouchers.  Available in monetary values from £20 to £500 and redeemable at all of the restaurants listed on the Gourmet Guide our universal restaurant gift vouchers are the ideal gift for foodies or people who have got everything.","Voucher was late in the post, but Gourmet Guide went above and beyond to rectify the problem, will definitely be using their services again!",voucher late post gourmet guid went beyond rectifi problem definit use servic,excel custom servic
5,KBK,['Online Food Ordering Service'],4.6,2022-06-23,Becci,Delicious food,"From the very start, KBK has been at the forefront of the clean eating movement. The company has evolved to procure and build a passionate team that continues to exemplify and promote its core values of quality, passion, trust, transparency and simplicity.

We help all sorts of people with meal prepping, from the strictest calorie-counters to those just looking to be a bit healthier in their daily life. We do things quickly, efficiently and conveniently, helping people get the freshest, tastiest food in the quickest way possible.","Delicious food, great variety - in a month I didn’t have the same meal twice and excellent price point (especially if you manage to find a discount code!)5*",delici food great varieti month meal twice excel price point especi manag find discount code,delici food
5,Hawksmoor at Home ,['Meal Delivery'],4.1,2021-12-06,John Bates,Dinner for two,,I ordered the rump lunch for two. The food was magnificent and it felt like I was inside the restaurant. This was a surprise for my wife who had a long stay in hospital. Excellent.,order rum lunch two food magnific felt like insid restaur surpris wife long stay hospit excel,dinner two
5,Sporting Targets,['Recreation centre'],4.9,2021-04-17,John Cartwright,Nice job folks - keep it up,"One of the finest Clay Pigeon Shooting venues in the UK, offering corporate and club shooting, multi activity events, a gun shop, licenced bar and restaurant since 1990.","It's rare for something in the UK services industry to  extensively exceed expectations, but Sporting Targets does. The admin and reception staff are superlative, the ground team are amicable and polite [even though I don't appreciate their taste in music], and the gunshop and training team are expert and supportive. The traps are well kept. I only recently began clay shooting and think myself forunate to live conveniently for Riseley. Nice job folks - keep it up.",rare someth servic industri extens exceed expect sport target admit recept staff superl ground team amic polit even though appreci tast music gunshot train team expert suppur trap well kept recent began clay shoot think fortun live conveni wise nice job folk keep,nice job folk keep
5,Subway,['Restaurant'],1.9,2023-12-23,Judgiest Bin Man,Where do I begin,SUBWAY - Eat Fresh,Amazing food I got a tuna kahuna and finished it quickly it was amazing 10/10 would buy again,amaz food got tune kaluga finish quickli amaz would buy,begin
5,The House of Bruar,"['Clothing Shop', 'Homewares Shop', 'Restaurant']",4.5,2024-01-05,John,Excellent Service,"Scottish country clothing specialists the House of Bruar enjoy a unique reputation for quality that extends throughout our clothing, produce and art collections.","After an email with sale items, it was easy to select items, check out and pay.  I ordered a lovely jumper and it arrived within days.  Thank you for your speedy service, the jumper is perfect.",email sale item easi select item check pay order love jumper arriv within day thank speedi servic jumper perfect,excel servic
5,90 On The Green,['Restaurant'],3.7,2023-02-17,Bijan  Hassanzadeh,Delicious gourmet burger at 90 On-the-Green,"90 on the Green provides a warm and welcoming environment for food lovers. We’re inspired to know you by your name & know your order by heart. 
We are located near Southgate tube station and Palmers Green railway station, there are plenty of parking spaces nearby.",We like to thank the 90 on-the-green staff for their great service and fantastic meal. We had the Alderman burgers witch were prepared to perfection and absolutely delicious. I chose to have couple of glasses of their Italian wine Valbella Sangiovese which complemented the sensational rich tasting burger on the palette with its smooth juicy mellow taste. We will be back again for sure to also try the other items on their menu.,like thank staff great servic fantast meal aldermen burgher witch prepar perfect absolut delici chose coupl glass italian wine valbella sangioves compliment sensat rich wast burgher palat smooth juic mellow tast back sure also tri item menu,delici gourmet burgher
5,Hawksmoor at Home ,['Meal Delivery'],4.1,2020-05-18,LTMac,Amazing,,Please open again soon. Best steak ever! Chips are to die for. How they do them I’d love to know.,pleas open soon best speak ever chip die love know,amaz
5,Sporting Targets,['Recreation centre'],4.9,2020-11-16,Robert Everitt,A Must Visit!,"One of the finest Clay Pigeon Shooting venues in the UK, offering corporate and club shooting, multi activity events, a gun shop, licenced bar and restaurant since 1990.","Visited Sporting Targets just prior to lockdown 2. They are doing everything right. A safe environment to shoot at clay targets. Good variety for everyone, some difficult/professional/ Intermediate and novice. A nice atmosphere with friendly staff and golf buggys for carrying the load. The shop was well stocked too so you could actually get those items you need and then have a shot. Cafe spotless and food very tasty. Will visit again",visit sport target prior lockdown everyth right safe environ shoot clay target good varieti everyon intermedi novic nice atmospher friendli staff golf buggi carri load shop well stock could actual get item need shot cafe spotless food tast visit,must visit
5,Quandoo UK,['Restaurant'],1.6,2019-08-31,Stevie Boulton,Superb food staff are nice and…,"Quandoo is a restaurant technology and reservations platform supplying over 17000 restaurants with bookings, table management, payment and EPOS solutions. These solutions enable restaurants to connect better with new and existing customers and to simplify & boost your daily business.","Superb food staff are nice and friendly, I won't go anywhere else unless I get a bad meal.clean surfaces staff are there once your plate is empty.",superb food staff nice friendli wo go anywher els unless get bad surfac staff plate empti,superb food staff nice
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-09-30,Sarah,Hen do.,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!",Very good communication on the run up to the event and on the day.Delicious meal. Good quality products used.Great to have everything tidied up and cleaned. Thank you for a great service.,good commun run event meal good qualiti product everyth tidi clean thank great servic,hen
5,Hallsintl,['Catering supplier'],4.3,2022-06-14,Pippa Lightbown,Excellent customer service,"Established in 1975, Halls International is one of the leading providers of commercial catering equipment to the foodservice industry around the world.",Excellent customer service - went the extra mile to source a newer model at the same price.,excel custom servic went extra mile sourc newer model price,excel custom servic
5,Barmans.co.uk,['Restaurant'],4.6,2016-10-28,roger dickinson,Excellent,"Catering equipment suppliers of Bar Equipment, Bottle Coolers, Commercial Refrigeration, Bar Sundries, Ice Makers, Glassware and much more...",First class service,first class servic,excel
5,FFD Catering Equipment,['Restaurant'],4.2,2020-05-28,Emma James,Amazing customer service and great products,"FFD Catering Equipment mission is to supply the best commercial catering equipment at the lowest prices, with great service & fast nationwide delivery.",Ordered some glasses and unfortunately one was broken upon arrival. Called them and got through straight away which is unheard of! Chap on the phone was really helpful and arranged one to be sent out. Arrived the next day. Amazing customer service. Highly recommended and will be purchasing from them again,order glass unfortun one broken upon arriv call got straight away unheard chap phone realli help arrang one sent arriv next day amaz custom servic highli recommend purchas,amaz custom servic great product
5,The House of Bruar,"['Clothing Shop', 'Homewares Shop', 'Restaurant']",4.5,2024-01-03,B.D'vere,The service from the house of Bruar is…,"Scottish country clothing specialists the House of Bruar enjoy a unique reputation for quality that extends throughout our clothing, produce and art collections.",The service from the house of Bruar is excellent. A top quality website.,servic hous briar excel top qualiti webster,servic hous briar
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-08-12,julie harris,Communication from office team up to…,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!","Communication from office team up to the day of the function was 100%.Matt chef, was friendly happy to take questions from the guests about the food he had produced, Food was excellent, guests felt they had been spoilt.",commun offic team day function chef friendli happi take question guest food produc food excel guest felt spoil,commun offic team
5,Gourmet Guide,['Restaurant'],2.2,2018-06-15,Barry Andrews,Hotel Riviera in Sidmouth - a wonderful experience!,"Discover the Best Restaurants Near You in the UK with the Gourmet Guide.  Search by food type, price, key features or a combination of factors to find the perfect restaurant for your needs requirements and budget.   

Or why not give the gift of a wonderful dining experience with one of our universal restaurant gift vouchers.  Available in monetary values from £20 to £500 and redeemable at all of the restaurants listed on the Gourmet Guide our universal restaurant gift vouchers are the ideal gift for foodies or people who have got everything.",I cannot praise the Hotel Riviera in Sidmouth more highly! It was truly an excellent and enjoyable experience being pampered with such good service and food prepared to perfection!Everything about our visit was top quality and I would certainly recommend the hotel to anyone looking for something extra special.A big thank you to all the staff we encountered.,critic hotel river sidmouth highli truli excel enjoy experi pamper good servic food prepar perfect everyth visit top qualiti would certainli recommend hotel anyon look someth extra big thank staff encount,hotel river sidmouth wonder experi
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-09-01,John  B,The chefs were wonderful,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!","The chefs were wonderful, the food was tasty, everything was washed up before we'd even finished eating... Great. And they put up with last minute cancellations very well.",chess wonder food tast everyth wash even finish eat great put last minut cancel well,chess wonder
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-07-21,StephanieGeorgia,Perfect hen party dinner,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!","This service is genius!We arranged for this company to cook for us at our hen party. Our chef & assistant were super lovely, checking in with us earlier in the day and managing in the tinyest of kitchens!The food was perfect and we all enjoyed every bite. The best part was the cleanest kitchen I’ve ever seen, and although our accommodation was open plan we didn’t even notice they were there! I would 100% book again",servic geniu arrang compani cook us hen parti chef assist super love check us earlier day manag tiniest kitchen food perfect enjoy everi bite best part cleanest kitchen ever seen although accommod open plan even notic would book,perfect hen parti dinner
5,YOTEL,['Hotel'],2.4,2019-08-03,Mr Norris,Very helpful and friendly staff (a hidden gem),"YOTEL is an innovative hotel group headquartered in London and with hotels located in New York- Manhattan, London Gatwick South Terminal, London Heathrow Terminal 4, and Amsterdam Schiphol Airport. Guests can stay in smartly designed 'cabins' offering all of the luxuries and comfort an international traveller needs in a smaller space.","Very helpful and friendly staff, I use Yotel as it convenient at Gatwick Airport as I am a frequent flyer and its location at international arrivals at the south terminal is perfect. This place is a hidden gem and seems quite underrated and most people seem to want to stay elsewhere. Get up early have a shower and breakfast and feel refreshed ready for check in and prepare for the day ahead.",help friendli staff use hotel conveni patrick airport frequent ulcer locat intern arriv south termin perfect place hidden gem seem quit underr peopl seem want stay elsewher get earli shower breakfast feel refresh readi check prepar day ahead,help friendli staff hidden gem
5,La Belle Assiette UK,['Caterer'],4.8,2022-05-01,WordyWendy,Your personal chef to make an evening special,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.","Romuald was warm and delightful from the first phone call to the end of the evening. How he produced such beautiful food in such a quick time span I don’t know. He was a one-man entertainment system too - chef, waiter, maitre d’, even washer upper. The kitchen was left immaculate and he made it all loook out so easy. Fantastic experience, heartily recommend him.",romuald warm delight first phone call end even produc beauti food quick time span know entertain system chef waiter maitr even wash upper kitchen left immacul made look easi fantast experi heartili recommend,person chef make even special
5,La Belle Assiette UK,['Caterer'],4.8,2022-04-01,Robert Hogarth,Private dinner for 4 with Chef Ronnie,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.","I was given a voucher for a private dinner for 4 as an Xmas present.  I booked a date with la Belle Assiette and they provided Ronnie Gallagher.  He came to our house and produced a fabulous three course meal with canapés to have with drinks beforehand.The food was really good, Ronnie produced the dishes without fuss and left the kitchen immaculate before he left.  A great experience.",given voucher privat dinner present book date la bell cassett provid bonn gallagh came hous produc fabul three cours meal canal drink food realli good bonn produc dish without fuss left kitchen immacul left great experi,privat dinner chef bonn
5,Paya Cuisine,['Restaurant'],1.4,2012-07-07,Julia Brannan,Paya Takeaway,"paya is ""still one of the best Chinese restaurants in London. With over 25 years of history, Paya has stood the test of time because of the quality of its food, service and surroundings"".",Probably the best chinese take away in the area.,probabl best chines take away area,pay takeaway
