Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text,Processed Review Text
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-10-21,JULIA CONNOR-SMITH,Great birthday treat,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!",Delicious food. Great service,delici food great servic
5,Gourmet Guide,['Restaurant'],2.2,2018-06-02,Sally Dale,Bought as a gift,"Discover the Best Restaurants Near You in the UK with the Gourmet Guide.  Search by food type, price, key features or a combination of factors to find the perfect restaurant for your needs requirements and budget.   

Or why not give the gift of a wonderful dining experience with one of our universal restaurant gift vouchers.  Available in monetary values from £20 to £500 and redeemable at all of the restaurants listed on the Gourmet Guide our universal restaurant gift vouchers are the ideal gift for foodies or people who have got everything.","Bought as a present, and the gift box arrived very quickly. Packaging very good.",bought present gift box arriv quickli pack good
5,Sporting Targets,['Recreation centre'],4.9,2023-09-07,J Sweeney Accountants,Team Building Day,"One of the finest Clay Pigeon Shooting venues in the UK, offering corporate and club shooting, multi activity events, a gun shop, licenced bar and restaurant since 1990.","We attended a Team Building day at Sporting Targets.From correspondence to the day we attended Angela and John were really helpful and accomodating.On the day, all the guys that supervised us were so lovely, they taught us how to use all the equipment, put us at ease as it was most of the teams first experience, it was a lot of fun. The team had a great day, thank you we can't wait to return.",attend team build day sport correspond day attend angela john realli help day gun supervis us love taught us use equip put us eas tear first experi lot fun team great day thank ca wait return
5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-07, Mark Hutton,Easy & straightforward & good value for…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Easy & straightforward & good value for money, would recommend & use again, great 2 days",easi straightforward good valu money would recommend use great day
5,Hawksmoor at Home ,['Meal Delivery'],4.1,2021-08-03,Cormac R,Visited the Manchester restaurant,,Visited the Manchester restaurant. Great service and great food. Really good portions too. The mackerel salad starter was the best bit,visit manchest restaur great servic great food realli good portion mackerel salad start best bit
5,La Belle Assiette UK,['Caterer'],4.8,2022-03-05,Steve,Five Stars!,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.",Fantastic evening with Gio celebrating my wife’s birthday. He was charming and attentive and each of the 5 courses was delicious. Would absolutely recommend Gio if you’re thinking of hosting at home.,fantast even go celebr wife birthday charm attent cours delici would absolut recommend go think cost home
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-12-05,Carl Randall,Birthday breakfast in Paris…,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!","The Dinindulge team did a great job helping me arrange the perfect birthday breakfast for our group. We were traveling from the US to Paris to celebrate my wife's birthday and they connected me with the perfect chef, Salame. They allowed me to tweak the menu to accommodate dietary preferences and their communication and overall customer service was top notch.",dinindulg team great job help arrang perfect birthday breakfast group travel us pari celebr wife birthday connect perfect chef allow weak menu accommod dietari refer commun overal custom servic top notch
5,Fusionkitchen,['Indian takeaway'],2.4,2021-09-21,Dilip jain,We are with FusionPOS nearly 3 years…,"Fusion Kitchen is an online ordering portal for Takeaways and Restaurants in the United Kingdom. 

We’re always working to make your ideas
better. Now that you’ve Fusion Kitchen for
a bit, We’d like to have your thoughts.","Compare to food hub, Fusionkitchen is much better and customer support are super fast to help the customers.",compar food hut fusionkitchen much better custom support super fast help custom
5,KBK,['Online Food Ordering Service'],4.6,2022-08-23,Harbir Brar,Have used them for 6 months now,"From the very start, KBK has been at the forefront of the clean eating movement. The company has evolved to procure and build a passionate team that continues to exemplify and promote its core values of quality, passion, trust, transparency and simplicity.

We help all sorts of people with meal prepping, from the strictest calorie-counters to those just looking to be a bit healthier in their daily life. We do things quickly, efficiently and conveniently, helping people get the freshest, tastiest food in the quickest way possible.",Have used them for 6 months now. Food is amazing & service is 10/10,use month food amaz servic
5,La Belle Assiette UK,['Caterer'],4.8,2022-05-18,Louis K.,First class dinner and service,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.","This is the first time we have used La Belle Assiette and we were really delighted. Having booked the chef, I received a call to confirm that I was happy with everything. The chef, Kasia Sikora, was then put directly  in contact with us to finalise details of food etc for the night. Food and service on the night were really excellent. Kasia brought someone to help her and by the time we had finished dinner we came out to find our kitchen impeccably clean and tidy.   Will definitely use this service again. Thank you",first time use la bell cassett realli delight book chef receiv call confirm happi everyth chef asia minora put directli contact us finalis detail food etc night food servic night realli excel asia brought someon help time finish dinner came find kitchen impecc clean tidi definit use servic thank
5,"Swan, Shakespeare's Globe",['Restaurant'],2.7,2014-10-24,Maja ,"Classy, beautiful setting, delicious food",,"Had a really lovely evening here, drinks in the bar followed by dinner upstairs. Really good food, couldn't fault it, what I love about this place is the classy, relaxed feel to it. Great design to it too. And of course the view is fantastic! Also I should mention the waiter was very attentive. 10/10.",realli love even drink bar follow dinner upstair realli good food could fault love place class relax feel great design cours view fantast also mention waiter attent
5,La Belle Assiette UK,['Caterer'],4.8,2022-05-22,Louisa B.,Brilliant experience,"Love entertaining in the privacy of your place. Book a private chef. No queue. No taxi. No baby-sitting. Relax and enjoy your guests.

We curate and manage the largest selection of professional chefs in the UK: you can choose from over 250 chefs. The chefs adhere to La Belle Assiette's quality charter: 'home' cooking, fresh, seasonal, organic and local ingredients wherever possible.

Browse the La Belle Assiette app and instantly book the available chefs online. Menus can be personalised and reflect the culinary identity of the Chefs. Our concierges will put you in contact with the selected Chef after the booking.

There are many ways to enjoy a private Chef entirely dedicated to your celebration: sit-down dinner, cocktail buffet, cooking class, gourmet delivery. Anywhere: at home, at your chalet/short-term rental or on your corporate office premises. 

Family dinner. Casual friends dinner. Fine dining. Birthday party. Cocktail party. Holiday home chef. Hen do. Office lunch. Client closing dinner. Corporate offsite. Seminar.","Mark was great, really good communication before the event, caters to all types of guests and the food was delicious! Would highly recommend",mark great realli good commun event water type guest food delici would highli recommend
5,Nisbets Limited,['Restaurant'],2.0,2023-12-05,Lazarev Aleksandr,Fast delivery,"Nisbets is Europes largest supplier of catering equipment, with over 30 years experience serving the catering trade. With Nisbets next day delivery promise and a huge product range, spanning over 20,000 lines from Chef Clothing, Knives and Utensils through to Cooking Machines and Refrigeration. It is no wonder they are number 1 and used by hundreds of thousands of customers worldwide.","Fast delivery, good prices and customer service 👍 Ask for pricematch",fast deliveri good price custom servic ask pricematch
5,Gourmet Guide,['Restaurant'],2.2,2018-07-11,Jane,Superfast delivery if you order the…,"Discover the Best Restaurants Near You in the UK with the Gourmet Guide.  Search by food type, price, key features or a combination of factors to find the perfect restaurant for your needs requirements and budget.   

Or why not give the gift of a wonderful dining experience with one of our universal restaurant gift vouchers.  Available in monetary values from £20 to £500 and redeemable at all of the restaurants listed on the Gourmet Guide our universal restaurant gift vouchers are the ideal gift for foodies or people who have got everything.",Superfast delivery if you order the gift box before 2pm. Easy to order and the gift box is lovely way to present the voucher,superfast deliveri order gift box pm easi order gift box love way present voucher
5,Nandos,['Restaurant'],2.4,2023-09-09,Jane Skelton,First meal at Nandos,,This was our first time trying Nandos and it did not disappoint. My friends have told me to go for a while so I went on Saturday with my husband and it had a great atmosphere and food to match. We will definitely be going again.,first time tri hand disappoint friend told go went saturday husband great atmospher food match definit go
5,Fox and Hounds Grantham ,['Restaurant'],3.6,2021-08-22,Dear Ms Smart,Absolutely lovely carvery great choices…,"The Fox and Hounds is a brilliant countryside pub in a lovely little village. We are an excellent destination pub with an amazing beer garden and outside play area, perfect for enjoying the sunshine ","Absolutely lovely carvery great choices of meat and vegetables and food was red hot . Very nice decor and lovely and clean , staff very polite and helpful and manager Joe was very nice and couldn't do enough to help.  Great value for money. Many Thanks we'll see you again very soon.",absolut love arteri great choic meat veget food red hot nice door love clean staff polit help manag joe nice could enough help great valu money mani thank see soon
5,Quandoo UK,['Restaurant'],1.6,2021-03-27,Scarlett James,Recommended,"Quandoo is a restaurant technology and reservations platform supplying over 17000 restaurants with bookings, table management, payment and EPOS solutions. These solutions enable restaurants to connect better with new and existing customers and to simplify & boost your daily business.","Delicious foods and great service , good recommended",delici food great servic good recommend
5,YOTEL,['Hotel'],2.4,2022-08-16,Speck48,Yotel New York,"YOTEL is an innovative hotel group headquartered in London and with hotels located in New York- Manhattan, London Gatwick South Terminal, London Heathrow Terminal 4, and Amsterdam Schiphol Airport. Guests can stay in smartly designed 'cabins' offering all of the luxuries and comfort an international traveller needs in a smaller space.",Yotel New YorkThe room was small but clean and cleaned every day of our one week trip- brilliant location for Times Square and quiet as not right in hubbub. Would recommend if your looking for some where to test on a busy New York trip !!,hotel new yorkth room small clean clean everi day one week brilliant locat time squar quiet left hubbub would recommend look test busi new york trip
5,Gourmet Guide,['Restaurant'],2.2,2019-12-01,Kenryk Isaac,My second good experience,"Discover the Best Restaurants Near You in the UK with the Gourmet Guide.  Search by food type, price, key features or a combination of factors to find the perfect restaurant for your needs requirements and budget.   

Or why not give the gift of a wonderful dining experience with one of our universal restaurant gift vouchers.  Available in monetary values from £20 to £500 and redeemable at all of the restaurants listed on the Gourmet Guide our universal restaurant gift vouchers are the ideal gift for foodies or people who have got everything.",My second good experience. Easy to book and the voucher value was deducted from the bill automatically without having to present a voucher. I hope I get another voucher for Christmas!,second good experi easi book voucher valu deduc bill automat without present voucher hope get anoth voucher christma
5,Sporting Targets,['Recreation centre'],4.9,2022-07-14,gareth howells,Myself and wife came here for a gift…,"One of the finest Clay Pigeon Shooting venues in the UK, offering corporate and club shooting, multi activity events, a gun shop, licenced bar and restaurant since 1990.",Myself and wife came here for a gift that was bought at Xmas. We had an amazing afternoon great venue with food and drink. We had Vince for one hour for the gift experience he was funny and professional and got us both hitting multiple flags. Great place and great staff we will definitely be looking at coming back.,wife came gift bought amaz afternoon great venu food drink sinc one hour gift experi funni profession got us hit multipl flag great place great staff definit look come back
5,Randall & Aubin Restaurant - Soho,['Restaurant'],3.9,2023-09-02,Veronica Morris,Amazing experience,"Randall & Aubin restaurant and takeaway shop located in the heart of London, UK. We offer event catering, menus, delivery, and online reservations. Randall & Aubin Restaurant offering Champagne, oyster bar, fine dining, wine list, excellent cuisine, freshest seafood and succulent roasts in London, UK.",Amazing experience! Great food!,amaz experi great food
5,Barmans.co.uk,['Restaurant'],4.6,2015-11-25,Wendy Lott,Cheers,"Catering equipment suppliers of Bar Equipment, Bottle Coolers, Commercial Refrigeration, Bar Sundries, Ice Makers, Glassware and much more...","Wanted some specific wine glasses which I had seen in a restaurant, I found them on the Barmans website, however, they were out of stock but said they would email me when they became available which they duly did.  Within days I had my beautiful wine glasses.  Thank you so much for a first class service.  Cheers",want specif wine glass seen restaur found german webster howev stock said would email becam avail duli within day beauti wine glass thank much first class servic cheer
5,Dinggly,['Telecommunications equipment supplier'],4.7,2022-09-01,Green Farm,We have a simple system,"Dinggly’s wireless paging and call button systems make it extraordinarily easy for people to request the assistance of others.

Featuring cloud technologies, our range includes premium quality call buttons and virtual call buttons (driven by QR codes). Calls can be received on mobile phones, tablets, smartTVs, Dinggly wrist pagers, compatible smart-plugs, a computer browser or integrate with other software. 

Our call button paging systems work over your WiFi network so range is never an issue as long as a button is connected to WiFi. Staff can be on any WiFi or cellular network to receive the calls.

Dinggly call button paging systems are found in hotels, restaurants, offices, retailers, educational institutions and factories around the world.

Customers can configure and update their pager systems via a secure portal. Tasks such as changing the name of a call button or staff login names are easily performed.

The calling device, responder and response time are logged against every call. For those that want access to this data, Dinggalytics provides a rich pool to information to evaluate your system and operation.


The main benefits of a Dinggly paging system are: * Dinggly Call buttons are intelligent devices with 2-way communication. When someone presses the button, they see a blue light and hear a sound (optional). When the call is accepted on any device, the light changes to green, and a sound is heard, so the caller knows someone is on their way. * Dinggly receiving devices talk to one another - so when a receiving device accepts a call, it tells all the other devices which received the same call that the call is in hand, and who accepted the call. This avoids duplicated effort. * The calls can come through to alert any combination of mobile phones/tablets/desktops/laptops/Smart TV's and/or Dinggly supplied WiFi Wrist Pager watches. * Up to 3 levels of call escalation are available for calls which are not answered within a preset time delay. * Calls from Call buttons can be directed to different recipients based on call source and call type. * Due to the cloud architecture of the Dinggly system, there are no distance limitations to implementing the solution, as long as there is a WiFi signal where the Call Buttons and Dinggly WiFi Watches are used, and a WiFi or cellular signal where mobile receiving devices are used. * When the call button needs to be recharged, it sends out an email to one or more persons. * Dinggly offers a very high level of reliability as there are no on site servers which can fail, since all devices communicate with a central cloud based data centre.

Find out more about us at www.dinggly.com
","We have a simple system, 1 bell and 3 users. It works great for us in our Spa and allows us to leave the reception desk unmanned as long as someone is carrying a phone withem where the bell rings. The bell works entirely through our wi-fi & mobile phone system. We have had the bell for oevr 2 years now.",simpl system bell user work great us sea allow us leav recept desk man long someon carri phone bell ring bell work entir mobil phone system bell year
5,Barmans.co.uk,['Restaurant'],4.6,2015-12-10,Pedro Donald,Short and Sweet,"Catering equipment suppliers of Bar Equipment, Bottle Coolers, Commercial Refrigeration, Bar Sundries, Ice Makers, Glassware and much more...","I found exactly what I wanted, it was in stock, I bought it and it was fitted in my pub within a couple of days. Perfect.",found exactli want stock bought fit pub within coupl day perfect
5,Barmans.co.uk,['Restaurant'],4.6,2015-12-08,Nicola Black,Efficient,"Catering equipment suppliers of Bar Equipment, Bottle Coolers, Commercial Refrigeration, Bar Sundries, Ice Makers, Glassware and much more...",I was really impressed with the quick service and liked the e mails updating me where my parcel was up to. The only slight problem was the package was thrown over the gate as no one was at home which could have damaged the goods.however it wasn't damaged and on the flip side I didn't have to wait for re delivery. Would recommend .,realli impress quick servic like e mail date parcel slight problem packag thrown gate one home could damag damag lip side wait deliveri would recommend
5,Sporting Targets,['Recreation centre'],4.9,2021-04-05,Martin Harker,Excellent service,"One of the finest Clay Pigeon Shooting venues in the UK, offering corporate and club shooting, multi activity events, a gun shop, licenced bar and restaurant since 1990.","Excellent service, can't fault them at all. Would recommend them to anyway.",excel servic ca fault would recommend anyway
5,Dineindulge,"['Caterer', 'Catering food and drink supplier', 'Meal Delivery', 'Mobile Caterer', 'Restaurant']",4.9,2023-07-13,J H,Another great night with a DineIndulge chef,"Dineindulge is the world’s 1st and only private chef experience. Our personal chef hire service & menus are available in over 10 countries and whether you are booking us in London, Paris, or Rome, you can experience restaurant quality cuisine, at a restaurant price in the comfort of your own home or holiday accommodation.

The Dineindulge service includes your own private chef who will freshly prepare, cook, and serve your chosen Dineindulge menu by taking over your kitchen and equipment in the home, accommodation, or venue. The service is designed to be relaxed and personable with your chef introducing each dish to the table, as well as clearing and cleaning down the kitchen and even doing the washing up before they leave!",Always a great experience with Dineindulge - and this time was no exception. Cayetano was superb very professional and the food was delicious.  Our guests are all looking at their own events.,alway great experi dineindulg time except cayetano superb profession food delici guest look event
5,Hallsintl,['Catering supplier'],4.3,2022-01-10,Ann Todd,Excellent service from Jason,"Established in 1975, Halls International is one of the leading providers of commercial catering equipment to the foodservice industry around the world.","Excellent service from Jason , very professional and helpful , nothing was any trouble , got the part I needed and was sent to me promptly,",excel servic jason profession help noth troubl got part need sent promptli
