Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text
5,Franco Manca,['Restaurant'],2.7,2023-12-08,customer,Franco Manca came to the rescue with a…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Franco Manca Waterloo came to the rescue with a last minute takeaway order of 40 pizzas!! Thank you for the top service and delicious pizzas from everyone at DLD College! 🍕 5*
2,Franco Manca,['Restaurant'],2.7,2023-09-26,O Ashcroft,"Trafford Centre, not good",Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Trafford Centre:Server didn’t fill me with confidence our order had been correctly taken despite us repeating it several times, almost couldn’t cope with the idea that our 9 year old might want a full size pizza. Sure enough her pizza never turned up, asked where it was and they were genuinely surprised that all 4 of us might be wanting to eat.Wife’s pizza was pretty tasteless, toppings on mine was cold to lukewarm. The kids pizzas were ok. Honestly would have had more culinary enjoyment from a store bought pizza, just extremely disappointing, won’t be returning"
1,Franco Manca,['Restaurant'],2.7,2023-10-24,Pete,What has happened to Franco,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"What has happened to Franco? Used to be a pleasure. Staff no longer interested in serving - hands in pockets. Ignoring customers having a chat. No urgency in serving, cooking or general pleasant service. Can’t comment on food quality - I gave up and left!!"
2,Franco Manca,['Restaurant'],2.7,2023-10-31,anita brown,Visited the Greenwich branch,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Visited the Greenwich branch, customer service was poor, staff not very helpful.  Overcharged for an additional pizza. Queried this and asked for a refund but was advised we had to fill in a form and wait 5 days. Refund has not been credited to my account."
1,Franco Manca,['Restaurant'],2.7,2023-10-26,Simon Davis,If FM had enough staff then…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"If Franco Manco had enough staff then we wouldn’t have had to wait 30 minutes to get into Franco Manca Covent Garden last night but one waiter per floor is ridiculous. Yes the were busy and we love FM but have never had to wait over 40 minutes for a pizza. Delicious as usual but more staff please. Kudos to the staff there who were working incredibly hard, courteous with a smile. The whole process 1 1/2hrs in the end!"
1,Franco Manca,['Restaurant'],2.7,2023-05-29,Robert D,"Uncooked, cold/lukewarm, burnt food",Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Our experience with the Lincoln branch was poor in every respect. Food arrived cold/lukewarm, burnt and uncooked in places. The sourdough base for both pizzas was soggy in texture and the focaccia black and burnt. Management made contact and provided assurance that they would look into matter. One week later, despite having my contact details, just one silent 25 second recorded phone message was left."
5,Franco Manca,['Restaurant'],2.7,2023-11-04,Wayne,Great experience,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Popped in for a quick Bite at Franco  Manca ,Hove and our first time at Franco Manca was excellent.Geniunely one of the tastiest pizzas I have ever had.The price was more favourable then the usual suspects we visit and the service prompt,non fussy and friendly.Well done Vincenzo and team.We will be back."
5,Franco Manca,['Restaurant'],2.7,2023-04-12,Lisa M.,Most sweet Manager Imi and lovely staff,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Me and my sister came to Franco Manca Covent Garden , the service was fast and we loved the vibe of the staff ! I have nuts allergy and during the order even the Manager arrived to our table with an allergy list to reinsurance my safety! Absolutely professional, fantastic energie guy, his name is Imi .We loved him and the tasty pizza  No2 with buffalo and the tuna salad. Going back defenetly!"
1,Franco Manca,['Restaurant'],2.7,2023-10-12,mr angry,Like being in Napoli!,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"It was like being in Napoli with the rudeness & arrogance of the staff at the Kilburn Franca Manca.  Started off with one of our party who was deaf and did not hear the waiter being castigated for not acknowledging the staff, poor man stated he never heard the waiter talking to him at all.Waiter then said he did not need to write down the order as he could remember and subsequently order came to table incorrectly. We tried to rectify but staff were busy elsewhere, (one on a smoke break)!Food was not great, soggy watery pizza, not great at all. We had also ordered one pizza for takeaway which was ordered at the beginning of the meal and to to our amazement when we got home we had an empty box instead of a pizza, I think there was a miscommunication and this was laughable! Awful service, awful pizza, awful experience.  Real sense of an unmotivated staff, ( and that is a kind way of putting it)! Avoid at all costs, they will never see a penny of mine again!"
2,Franco Manca,['Restaurant'],2.7,2023-11-18,JE Hulmston,Soggy bland chewy pizza,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Soggy bland chewy pizza.  Asked for Parmesan cheese, waitress just shrugged.  You know the Italian hard cheese you grate on pasta and pizza in Italy ? Needdd something to give it done flavour.my kids could make better at home. Horrible soggy mess Ordered glass of red wine which was awful."
5,Franco Manca,['Restaurant'],2.7,2023-01-19,AN,Nicest pizza restaurant…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Nicest pizza restaurant I have ever eaten at. After my friend kindly introduced me to this place I have been back twice more. Unreal food, brilliant service, friendly servers and an amazing atmosphere. Enjoyed my time so much and would definitely recommend to a friend."
Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text
1,Franco Manca,['Restaurant'],2.7,2023-07-11,Ormiston Wire,Rubbish Pizza in Richmond,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Rubbish Pizza in Richmond, Pappy, tasteless, undercooked. Very disappointed as out with 40 year old friendship meeting. Very attentive staff but  what a crap deal meal. As we say not eating here again and will pass the crap message on."
1,Franco Manca,['Restaurant'],2.7,2023-07-05,Ron H,What's Gone Wrong?,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Soggy tasteless base and rubbery low quality cheese. Buffalo mozzarella no longer available. we used to look forward to coming here, but this wasn't a one-off. This was the third consecutive 1* standard from the Canary Wharf branch of this chain. We won't be going again."
1,Franco Manca,['Restaurant'],2.7,2022-08-11,Online customer,One star and here's why,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Clearly the last thing the Bournemouth square branch needed was more eat in diners the evening we went there. One waiter was attempting to cover what seemed like the whole restaurant. To his credit he remained cheerful and professional but he was swimming against the tide. The jug of water he offered to get for us never materialised. We did eventually manage to get a couple of pizzas which were underwhelming to say the least. Mine -the vegan special of the day- was so spicey as to be almost inedible. All in all, a less than satisfactory experience."
1,Franco Manca,['Restaurant'],2.7,2023-07-31,Kate,Negligent with regard to food allergies,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,I ordered gluten free pizza from this store and they accidentally made me a normal pizza containing gluten. I'd eaten some of it before questioning and then they confirmed they'd made a mistake. I was on a strict gluten free diet post gut surgery and ended up in a lot of pain for 24 hours plus it was a very scary experience. The restaurant didn't even offer a refund of the food. They investigated and admitted the mistake but said all their procedures were fine as it was the fault of the ticket system! They really don't seem to understand the importance of getting it right when it comes to allergies or contraindications. Thankfully I had no long-term issues but they could kill someone with this attitude.
1,Franco Manca,['Restaurant'],2.7,2023-09-04,elizabeth matharoo,Went in yesterday walk of staffked out after 10…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Went in yesterday walked out after 10 mins waiting to be served, dirty glasses and coke bottles on table,think they need more staff as went in when they 1st opened and service was excellant"
5,Franco Manca,['Restaurant'],2.7,2023-04-28,liv coleman,Such a fantastic experience,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Such a fantastic experience. It was really busy when we arrived but the food was very quick and exactly as we’d ordered. Our waitress Angel was so helpful, She did everything to make us as comfortable as possible. She was truly an asset to the company ! Will definitely be returning."
2,Franco Manca,['Restaurant'],2.7,2022-12-01,Star Wanderer,Food Poisoning,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"My Partner and I went to the holborn branch back in December 2022. We both got food poisoning from the food we ate there.  After looking at our photos of the food, we noticed some white marks on the basil leaves, I contacted customer services… who said they would investigate, its now March 2023 and I’ve heard nothing back , even after 4 messages from my side, checking for updates.    Unfortunately this place has lost it’s reputation… just another high street brand taking the population for their hard earned pound."
5,Franco Manca,['Restaurant'],2.7,2023-04-02,Hazel,Just eaten at Covent Garden,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Just eaten at Covent Garden . I never write reviews but feel I should this evening. The front of house manager Imi was wonderful. His relationship with his staff is obviously positive and this shows in the level of customer service. An extremely good experience. I would highly recommend this restaurant
1,Franco Manca,['Restaurant'],2.7,2021-12-26,Andriyana ,The staff were so rude,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"The staff were so rude , especially the girl with black hair , she even didn’t ask do we want to add service charge to the bill , she just added it . Very disappointed. Also they were giving everyone gifts , some cake ,  however we did not receive them.We are a regular customers at Franco Manca in Westfield shopping centre but will never go there again ."
1,Franco Manca,['Restaurant'],2.7,2022-10-26,Chris Hitman,My daughter & her friends ate at the…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"My daughter & her friends ate at the Exeter Franco Manca yesterday and ordered 2 Margherita pizza + a pizza with halloumi & potato - all 3 girls fell ill with stomach cramps - 1 of the girls vomited an hour after eating. I suspect the dough was not properly cooked...The server also seated a table of 10 after they arrived - that table got served before they did & got their food before they did - unprofessional...On telling Manager Jason of the incident the restaurant passed the details to a ""third party"" & refused to refund the meal.Very bad experience."
2,Franco Manca,['Restaurant'],2.7,2023-10-01,Joan Johnson,Very disappointing,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Very disappointing.  The salad was 90% lettuce. The pizza managed to be heavily singed and very soggy. Staff unsurprisingly didn't ask if we enjoyed the food and seemed disinterested generally.
1,Franco Manca,['Restaurant'],2.7,2023-08-18,Aaron Hemsley,Not told about so much extra bills,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Went in expecting to use a unidays student discount and asked about it and got told that it was fine to use to ate here with that budget in mind, then after we ate our food and went to pay we got told that we couldnt use our discount and we had to pay full price plus extra bills we didnt know about. Ridiculous prices for the food anyway but not being told about the discount not good"
2,Franco Manca,['Restaurant'],2.7,2023-07-01,Stephen Corbett,Chichester meal for two,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Chichester. First time using this chain. Not impressed. Staff very polite and helpful but tables are tiny, not enough room for plates and glasses, let alone dips or oil bottles etc. The huge pizza crust forms about 5cm of the perimeter of the pizza, so only the middle of the pizza has any topping! For us it was far to soggy underneath (I like sourdough but this was stodgy) and the large crust was heavy to consume. The toppings weren't well or evenly constructed and not much flavour either. Sadly a disappointment all round and likely won't be re visiting. After reading the reviews post our experience, I see some people have quoted 'best pizza' in their review??? Maybe other branches are better? We politely informed our waitress of our constructive criticism and she was very polite and professional in her response."
1,Franco Manca,['Restaurant'],2.7,2023-04-30,Kavita Poddar,Awful !!,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,This is the second time when we ordered pizza from Franco manco through delivery and the food was not delivered to us for 2 hours - we ordered at 8 pm and when we called the Putney branch they had not even put the pizza in the oven It’s is really the most awful place u can think of - never eating therr and definitely never ordering from there
3,Franco Manca,['Restaurant'],2.7,2021-11-13,Jola D,Average pizza,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Average pizza, I had better pizzas. The big minus is when you order it take away they are not packing olives for you, I previously ordered a pizza from different pizzeria and they packed chilli and garlic oil for me without a problem. Also take away pizza should come sliced which would be easier than cutting at home."
1,Franco Manca,['Restaurant'],2.7,2023-07-01,FF,Terrible service and they lie about…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Terrible service and they lie about delivery. I waited over an hour for my order which was due to arrive 35. Minutes ago. I called them and they blamed the delivery guy. I contacted the delivery guy who said the food isn’t ready yet. It arrived and is stone cold, breaching all sorts of food hygiene regulations. First and last time! I would avoid if you’re considering."
4,Franco Manca,['Restaurant'],2.7,2021-01-30,Michael Smith,Great Pizzas at Affordable prices,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Great Pizzas at Affordable prices. I like Franco Manca, haven't to any of their restaurants since the pandemic.They are usually very busy during the week days at lunch and dinner time. If you don't arrive early (before 12pm for lunch and before 5.30pm for dinner) you will find yourself queuing for at least 30 min.A very popular restaurant in central London."
1,Franco Manca,['Restaurant'],2.7,2022-08-25,Nilam,Awful experience- avoid,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Awful experience. Really disappointed with food and service. Wished we went somewhere else. Went to Trafford Centre branch. Order tomato, mozzarella and basil pizza which arrived without the basil. Taste was average. My friends flatbread was dry and had stale rocket on it. When complained about it we got 10% knocked off the bill but this was just the service charge that they add on without your permission. Not sure what service charge they can justify taking, not once did we get asked how the meal was or if we needed anything. Our waiter seemed to be unhygienic which was off-putting from the start. Needs big improvements or shutting down!"
1,Franco Manca,['Restaurant'],2.7,2022-11-20,RMM,ESTABLISHMENT RUN BY CLOWNS,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"I am severely allergic to milk and always order VG cheese in my pizzas. This past Sunday, we ordered some pizzas from our local branch. I was devouring my dinner when I realised something was wrong - there was regular cheese on my food. No dietary restrictions were followed! I decided to talk to the manager and tried to explain the severity of what had just happened and how people could die because of allergies. He could not care less and treated me like I was complaining about a wrong order or cold food. However, the worst part of this interaction came from the establishment's Chef - an establishment run by clowns. He told me, and I am repeating this verbatim: ""I am very happy you are not dead"".PLEASE - AVOID THIS RESTAURANT AT ALL COSTS."
5,Franco Manca,['Restaurant'],2.7,2021-07-22,Giuseppe Nieddu,One of the very best pizza in London,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"One of the very best pizza in London. Properly neapolitan style (sourdough), usually kind staff, reasonable prices, and generally good music in the background. No wonder they started with 1 restaurant, and now have over 30 in London alone. Only minor reservation: tiramisu' is nothing to write home about. Overall anyway highly recommended :)"
Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text
1,Franco Manca,['Restaurant'],2.7,2023-04-01,Richard Steele,We've just eaten at FM Kentish Town,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"We've just eaten at FM Kentish Town, and we are very disappointed with the quality of both the staff and the pizza. The pizza base was cooked but not the topping, this was cold. At no point were we asked if we were happy with the food, probably because they realised they'd served sub standard pizza. Such a pity since in the past we've always enjoyed our evening there, what's gone wrong??"
3,Franco Manca,['Restaurant'],2.7,2023-07-08,Rez,Slow service and poor website,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Pizza is nice. The app and website are terrible and often fail. Service is mixed. Sometimes good, but sometimes very slow. I’ve waited 30mins for a take away pizza. Generally, just order delivery via Deliveroo. It’s more expensive this way but you save 30 mins of your life."
1,Franco Manca,['Restaurant'],2.7,2022-03-26,Athar Amin,Absolute **** service,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Absolute **** service at Putney.  Rude waitress who could not give a ****. Walked away in mid-conversation while I was asking about a table that no one could possibly get in to without climbing or having the customers on the next table. Said everyone else manages and just walked away. How ******* rude. Probably spit in our food  if we had actually stayed.
1,Franco Manca,['Restaurant'],2.7,2023-10-07,Fay Hooper,No refunds nor apology when overcharged!,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"No refunds given when overcharged and told to write to head office for it! Ordered 5 pizzas and 3 salads between 7 of us. Errors were made in delivering our pizzas to our table.After much conversation with the waitress that we really did not order the pizzas she trying to persuade us to accept, we were given the correct order.After a friend paid the bill, we realised that we were also charged for the incorrect pizzas and an 'optional!' service was added too.We spoke with the manageress asking for a refund of the pizzas we didn't order and didn't eat. She said, ""It's your mistake and you should have checked your bill before you paid!""After much insisting, she said that she couldn't refund any money and that we should write to head office. No apology was given. Sooooo disappointing. Terrible manner from their manager Rachele who said their mistake is our mistake.She eventually filled in a refund form and said she'd send it off.Reading reviews, it seems that others have also been told no refunds are given. We do not have any hope for receiving money 'taken' from us.I suggest that mangers are taught to apologise and try and be kind and helpful rather than switching the blame. Was also rather off-putting to have person making pizzas wearing trousers and underpants falling from bottom, exposed two inches of it! Nice food cannot make up for terrible service! Shall never recommend nor return."
5,Franco Manca,['Restaurant'],2.7,2021-08-24,Mark Penniall,Visited the Edinburgh restaurant during…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Visited the Edinburgh restaurant during a city break with my son, the service, staff and food was excellent, Tim the assistant manager greeted us at the door and set the tone that we could expect from our visit and the staff and food didn’t let him down, I run my own business so know 1st hand how difficult it is getting the right staff and keeping them motivated, you’re doing an excellent job, thank you for looking after us so we’ll.Regards,Mark and Mark jnr"
1,Franco Manca,['Restaurant'],2.7,2021-04-08,P,Franco Manca Greenwich RUDE STAFF,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"The man who served us  (around 6:30 on 8/4/2021) was so rude and stroppy, we were very polite to him and his rude attitude was so unnecessary, its as if he didn't want us to order anything.  We wish we had just cancelled our order and not given them our money, definitely would not go back here again."
1,Franco Manca,['Restaurant'],2.7,2022-04-02,Johnny Evans,Absolutely disgusted with their…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Absolutely disgusted with their restaurant and now delivery. Why isn't there ZERO stars on here. In their restaurant we got food poisoning and now the delivery wS completely wrong. Had to chase after the driver and then argue for a refund. SORT THINGS OUT FRANCO MANCA. ABSOLUTELY DISGUSTING CUSTOMER SERVICE!!
2,Franco Manca,['Restaurant'],2.7,2023-08-26,Consumer,Went to the Trafford Centre today…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Went to the Trafford Centre today arrived at 12.05 for lunch restaurant was closed and nobody about- eventually saw a member of staff waved them over got served - starter was cheesy garlic bread dry and only dressed in the middle- had a margarita with buffalo cheese it was like a swamp very watery and pizza not sliced trying to slice at the table was a right pain - very disappointing and staff looked as miserable as sin - definitely not going back much better pizza places than this
4,Franco Manca,['Restaurant'],2.7,2021-11-14,Victoria Zakher,Great experience at Franco Manca Ealing,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Great experience today at the Franco Manca in Ealing. We were there for celebrating my friend birthday . We were a big group with 5 kids and staff was amazing and very friendly. The person who served us diserve 5 stars for the customer service skills. He was frequently checking on us if we were needing anything and updating us about the waiting time for the drinks and pizzas which was very fast. I gave them 4 starts instead of 5 because I brought an ice cream cake and instead of putting it in the freezer they put it in the fridge because they did not have space and it was not in the original condition and almost melted when we had it.
2,Franco Manca,['Restaurant'],2.7,2022-02-13,Jim Seltzer,The restaurant in Waterloo  - mainly dough,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"The restaurant in Waterloo - staff were good , but one guy was obviously being bullied by senior staff members , he was doing half the work but only getting told off all  the time. The pizza was 98 percent dough , with a smearing of ingredients , the so called garlic bread was similar in composition and burnt in places.definitely wins the ‘ most dough, least ingredients’ award. Not an experience  to repeat ."
2,Franco Manca,['Restaurant'],2.7,2021-08-29,Claudia,Chunky and dry pizza,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"I ordered a pizza which was not well cooked at all. The ingredients were thrown on top into chunks which didnt melt even when I popped it in the oven as recommended. The pizza had far too much N'duja, which was not nicely distributed. The pizza had far too much oil and the mozzarella was dry. This is not the first time I've been disappointed by Franco Manca - often I have had to order extra amounts of basic ingredients (such as tomato sauce& mozzarella) to make it taste as  a good pizza should. I don't think I'll be spending another 15 pounds on a pizza which does not meet basic expectations."
5,Franco Manca,['Restaurant'],2.7,2021-10-16,Jane Ward,Visited Aldwych WC2 Francomanca on 14 Oct 2021…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Visited Aldwych WC2 Francomanca on 14 Oct 2021 as a single lady.Was politely allocated a table outside by Ali who made the Tiramisu this morning which I had and I enjoyed a glass of rose with it.   Both delicious.Lovely service and would defo visit again.
1,Franco Manca,['Restaurant'],2.7,2022-06-29,M Meeus,non existent service! stay away,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,"Food good (like last review) service non existent.  Ordered 9 pizzas, 7 arrived, after contacting the restaurant, the comment was verbatim: 'the driver gave them to someone on the street then'  will not order again from this place!"
5,Franco Manca,['Restaurant'],2.7,2023-06-29,Mr. Nurul Ali,Mr Erland at the Franco Manca…,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,Mr Erland at the Franco Manca restaurant on Upper Street Islington was extremely helpful and courteous.  He knows how and why! Never to be forgotten! A
2,Franco Manca,['Restaurant'],2.7,2022-10-01,Maria,Oh dear ….,Franco Manca - Sourdough Pizza. The pizza is made from slow-rising sourdough (minimum 20 hours) and is baked in a wood burning oven.,We decided to go to Kingston’s Franco Manca and to be fair we didn’t book. The restaurant was busy but not overly. We sat at the table before presumably the manager ( who whispered and we couldn’t hear what she was saying  ) came to serve us and only because I caught her attention. Well over 45 mins later the food had not  arrived but I guess with only two chefs & a restaurant half full along with outside orders we kind of set the expectation. Lots of serving staff looking like they had no idea what they were doing. More disappointed that we weren’t at least spoken to or acknowledged and that for me is a big fail in customer service .We ended up leaving but not before paying for the two drinks we had and no apology.  We’ve been to the one in Oxford and that was awesome but I won’t be returning I’m afraid.
