Rating,Restaurant Name,Categories,Average Rating,Experience Date,Username,Review Title,Information,Review Text
4,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-15,Dave ,Received Buyagift voucher for tickets…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Received Buyagift voucher for tickets for an experience finishing in 1 month (experience closing end of January). I upgraded the gift voucher to a meal for 2, but the expiry date did not change.  If the expiry date had been extended to 6 or 12 months I would have awarded 5 stars."

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-19,Helen,I needed some help is extending my…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","I needed some help is extending my vouchers due to my child's ill health, Catriona was extremely patient and helpful and provided excellent customer service.  Thank you so much."

3,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-07,Nalans,Difficult to use,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Difficult to use, hard to search experiences. When I booked I didn’t get much information in the confirmation email (no check in time). Also the hotel didn’t send a separate confirmation so I was worried about whether the booking went through. I will ask my family not to use this website to buy me a gift as it’s not user friendly at all."

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2023-09-14,Kelly Travis,DO NOT USE !!!Absolutely useles company…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","DO NOT USE !!!Absolutely useles company . Paid for HelloFresh subscription  voucher and  they charged me our my bank account twice,  spent 5 hours of my.life in total live chatting to Buyagift.  On.2 separate occasions,  fobbed off said would sort and haven't . !!!!!!"

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2023-12-30,J. Cepson ,Enjoy a lovely meal with our date night voucher,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","We were bought a Buyagift voucher for Christmas for a date night for me and my husband. We loved the venue we chose and it was nice to spend some quality time together. I think my only criticism of these vouchers is that it would be good if a few more places let you use them, choice is a little limited"

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-18,Ryan Matthews,Constant issues with the website,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Constant issues with the website. Not the first time we have had issues trying to redeem our voucher for something we want. Really wish we did not get this voucher gifted to us.Spent an hour looking for something worth while using it on. Found the Alcatraz cocktail experience at 4 locations, including Manchester. We redeemed our voucher, searched again for the same experience and it had disappeared. Now only, London is showing and an uplift of £40 is required. I have never been as stressed as I am trying to navigate this awful website. Don't waste your money and don't put your friends and family through the pain!"

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-10,James C,Not worth the money I ended up paying…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Not worth the money I ended up paying to upgrade after extending twice only to not be able too go through illness.It was purchased as a present but I wouldn't recommend anyone doing the same just book direct!

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,Customer,NOT TO BE MISSED,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Great day out,culture,history and a few drinks along the way!Wonderful pubs in particular the Blackfriar and the Ship Inn.Wil our tour guide was very engaging and provided alot of information enroute in a light heartened manner which made the experience even better.Don't miss this one!!✅️"

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-12,customerMike,Whats for a good night out,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","We had a wonderful night out with overnight stay included.Actors were great fun and we were able to talk to all the suspects.Dinner was good.One draw back was that our table was placed out on a limb so it was a bit difficult to become totally involved,"

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-16,Mrs Hilary Lawrence,Voucher was a waste of money,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","My husband bought me a voucher for a night away with evening meal. The voucher got us virtually nothing and has to add virtually the cost of the hotel room again. We ended up with just a choice of premier inns, hardly the romantic night away he had thought he was buying with the voucher."

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-15,Mrs Karen Fitzgerald,It’s a gift for my sisters 50th…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",It’s a gift for my sisters 50th birthday. So excited to see her face when she opens it and then actually does it. Packaging is beautiful x

4,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,Mr A Bagley,4 car experience,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",I chose the gift box to be sent for my uncles birthday. It arrived quickly.I purchased the vintage four car experience for him. I am pleased with both the price and the choice of cars. I think I would have given 5 stars if there were images of the cars to choose from in the gift box.

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-10,Mrs P,Perfect all through process 👍,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Recently bought an afternoon tea voucher as a Birthday gift for a friend. The process was easy and I was able to add a personal message to my ‘bestie’ too. Voucher was delivered within three days using the normal, free postage option - fab. Would definitely recommend Buyagift for anyone to use."

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-13,Gera MacMull,Relaxing and stress free process,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",It was so relaxing where we stayed and the whole process of booking it from start to finish was so easy and quick. The communication before the stay was very clear as well. Well done and thank you.

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2023-12-24,SUE CHAPMAN,Good choice and reasonable prices,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",The experience vouchers are easy to buy and a good choice of activities. I initially mistakenly purchased the wrong voucher - (my fault for not properly checking the available locations)But Buyagifts 30 day refund period made it easy to get that one refunded so I then bought a voucher with more accessable locations for the people I was buying for. Very good customer service.

2,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-14,JSwan,Needed a spa after all that faff,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","I was given a voucher for afternoon tea and a spa experience for two, when I came to use the voucher this is not what I got. I couldn't find anything that matched this experience within the value of the voucher received. In the end I paid an extra £95 for just a spa day for two (£50 from the spa directly for a weekend charge 😣) Really disappointed that what was stated on the voucher was not redeemable. Appreciate the flexibility of vouchers on the website, but equally found the whole process of cashing in the vouchers and booking very convoluted. It was not easy to just book what it stated on the vouchers. Very stressful... Needed the spa after all that faff"

3,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-11,Yvonne Meechan,Treatments were excellent however…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Treatments were excellent however having to pay to use towel £3.50 plus £5 deposit or £20 for robe and slippers was not acceptable for a spa day. Facilities such as cold showers and no hair straighteners were very disappointing. No toiletries in offer either.

3,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2023-12-23,sue,Experience was a little disappointing,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Experience was a little disappointing, as the spa day did not include towels or changing robes which had to be purchased separately, I have never had to do this with any spa day before. The therapist that I had clearly had a cold and sniffed all the way through- so not particularly pleasant. The facilities themselves were pleasant enough.  Think I would rather pay more and go elsewhere next time"

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-14,Sandra Russell,Happy Birthday Experience Box,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Ordered the Happy Birthday Experience Box on Sunday and it was delivered on Wednesday morning. Speedy delivery, couldn’t ask for anything more."

3,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-12,GS,I felt somewhat misled as I bought a…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","I felt somewhat misled as I bought a gift for a family member (an experience) which said had to be booked before January 24th. I took this to mean the voucher would expire on that date, however it meant the actual experience had to be before that date otherwise extra charges were incurred. This was made even worse when the experience I had selected had no available dates in this period, but in May! This meant the family member I gave the voucher to, had to pay to use their gift as they had to extend the voucher till later this year when the experience which made me feel bad. Other than this the user experience was average."

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,Julie Sheridan,Great Value - Great Experience,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",My voucher for the Mayfair Grill and Bar was great value for money and my whole experience was fabulous

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-11,Blissie,Brought a afternoon tea voucher last…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Brought a afternoon tea voucher last year. Booked time date, turned up to a closed venue. Sent another voucher from buyagift as the original one had now expired. New venue wanted an extra £20 before accepting our voucher"

2,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2023-12-25,Customer,I would not buy through Buyagift again,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",I have tried to book a glamping holiday but none of the sites in my area had an dates to suit so changed for charming escape voucher but nothing suited on there. A lot of the hotels we had to pay extra for a weekend or some did not accept bookings on weekend/only 1 night or bank holiday.  Some even emailed me saying they hadn't been with buyagift for 5 years but they won't take them off their site??  A lot were cheaper and easier if we booked direct.  Never again

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-14,Laura García,ABSOLUTE WASTE OF TIME,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Bought a box using the location filter for Northern Ireland. To my surprise, when I received the box at the back there is an image of the map with all locations marked and NOTHING, I mean... NOTHING in Northern Ireland. Absolute joke and waste of time. Their search tool is clearly faulty and now I am left with no present for my friend. Thanks for nothing. I do not recommend this company at all, customer service was a joke too."

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-16,Mrs Patel,Contacted live chat twice and despite…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Contacted live chat twice and despite promises have still not received vouchèrs by post. No customer service at weekends and no option to actually talk to someone

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-18,Rachel Turner,Bought and paid for a gift voucher…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Bought and paid for a gift voucher for£65 and didn’t receive the e voucher. They are very difficult to contact. Tried twice to get it re sent then I asked for a refund which may be in the next 30 days. I will not use them or recommend. They still somehow managed to send marketing emails to me but not the voucher!

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-13,customer,Great experience,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Great experience. I made a mistake when booking and it was rectified with no problem. Very kind and helpful people manning phone lines.

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-16,Rachel Shears,Very good experience!!,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Very good experience!!! Delivering was super quick!! Extremely happy with the gift box too!!!

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-07,customer,Do not use!!!,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Website to poor, no customer service number, vouchers not advertised clearly. Requested a refund, have to get confirmation from the vendor the voucher code has not been redeemedPoor show, will not use again"

3,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-12,Mr Hill,The number of places offering afternoon…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",The number of places offering afternoon tea is nit as many as lead to believe.  One place told me the brochure/advertising is misleading. I would have to upgrade my voucher to.jook

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-16,louisa Cooney ,Absolutely horrendous company to deal…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Absolutely horrendous company to deal with. Avoid at all costs. Had vouchers to use that were impossible to redeem online. No customer service number at all everything through live chat of course unable to actually speak to a person . Will never use again

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-14,Ben Smith,"Great food, awful voucher company","Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","My experience of eating out was perfectly pleasant, lovely staff good food great atmosphere.This is the 3rd attempt to spend a £100 voucher it is diluted to just over £65 of value as the goal posts are regularly moved by this most awful of companies, do not buy a voucher from Buyagift!!"

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-14,Alison Dunn,Absolutely awful website and booking…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Absolutely awful website and booking experience!!! Took hours to sort…still not sorted. Now got to ring hotel. Steer clear buy your loved one an alternative gift!You lot dont listen with your rubbish responses. All review responses on trust pilot demonstrate a computer says no approach!!!! Absolute shower of brown stuff!!!

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-02,customer,Don’t t recommend,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",You get a voucher which then leads to needing to buy another voucher with out being able to pick where you want to go ! Then when you pick somewhere you find out they don’t support buy a gift and asked to be removed a year ago! Altogether an absolute nightmare to use a voucher!

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-11,Katy,Very relaxing time spent at Bannatyne…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Very relaxing time spent at Bannatyne spa, Ingleby Barwick.Very well run leisure centre.Thoroughly enjoyed our time there."

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-16,Kate Gillespie,Awful experience so far,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Awful experience so far, was gifted a dinner voucher, go online to book and you have to book another voucher. Did this and followed the link on the new voucher and it takes you to another page... to book another voucher...? Can't get through to anyone on customer service. Shouldn't be this hard to book a meal. Feel awful for the person who bought us this because they've just wasted their money."

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-16,Dawn,Terrible customer service,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Was bought a voucher as a birthday gift to see the thestre show back to the future in London theatre…. The voucher expires in January 2025 so when I went to book the show for August 2024 when I am next going to London I was disappointed to discover that the show is only running til the end of July …. I contacted BUYAGIFT who basically said they have no contact with the theatres and the only thing I can do is exchange the voucher for something else which then seems to add an extra cost …. Customer service is rude and don’t seem to know anything! Make sure u check out the experience before u buy!! Lots of hidden charges and clauses tgat make u end up spending lots more money

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-07,Keith Adamson,Utter nonsense from start to finish ..,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Utter nonsense from start to finish ... firstly the buyagift site diesnt even have date availability or calendar of any event to choose so basically you pay buyagift to do nothing !!! because you then have to call the venue yourself to make a booking !!so your paying buyagift for something you could have done without using buyagift!!Buyagift has no customer care , no contact number on site, no live chat available...complete nonsense from start to finish.dont waste your time or money and just call the event site directly and cut these chancers out of the deal altogether...Cant wait to see what twaddle their replies on here state...."

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-08,ANN THOMPSON-SMITH,Adventure Experience 21st present.,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","The gift hasn't been used yet. So, I don't know how the adventure experience itself will be and can't comment on that aspect. However, the order process; the gift box and delivery were all good."

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-15,Reggie Davis,Took my money,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Took my money, voucher doesn't work.Retailer (asda) confirmed the payment and said it was activated, buyagift wont do anything about it. Will have to go through the bank and charge back..EDIT: I contacted support again and after loads of going back and forth and them saying it wasn't valid, I managed to convince them they were wrong. I have my receipt with the activation code and everything, it still took far too long and they constantly told me it wasn't activated and there wasn't anything they could do. ( I'm now waiting on them again to validate it )"

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2023-12-16,Ian Robinson,The voucher is virtually worthless once…,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",The voucher is virtually worthless once the company take their cut to cover administration and advertising costs.  It was much much cheaper to go direct to the hotel to book a stay than to use a voucher and 'top up'. I do NOT recommend anyone purchasing these vouchers.  A complete waste of money.

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-01,Daniel,I have been scammed.,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","I have been scammed.Bought a Hello Fresh subscription. Came to use it a week later and the voucher was ‘fake’. Hello Fresh said buyagift do this on purpose to hope people just give up and the voucher expires.I complained for a week and eventually got a new voucher… was fake too. I’ve spent weeks more trying to speak to anyone but they just fob you off and promise you’ll hear from a manager. Trust me, you never will.Hello fresh say it’s a scam they’ve got going.Buyagift have no phone lines, nothing and would you believe it… ‘We don’t have a complaints process’. So there’s nothing you can do.This isn’t the company is used to be. They’re near enough bankrupt and scamming people for a final couple of months before they go under."

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-13,bj,We had a lovely afternoon tea,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",We had a lovely afternoon tea. There was plenty to eat and refills of our hot drinks. The scones were delicious and warm which was very nice. It was a very good price and  well worth it. Would certainly recommend. The staff were very friendly too. A very nice way to spend my afternoon with my friend.

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-16,Rob,Very poor customer service,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Purchased a voucher for a family member for Christmas. The restaurant the voucher is for has now permanently closed. Buy a gift will not give me a cash refund. I have told customer service a voucher I will exchange it for which they said they would arrange but they are now ignoring all email correspondence and I can't find a phone number to contact them on. Feel like I have been scammed. If you have problems with your voucher you will find it very hard to try and resolve.

1,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-19,Valerie,Unrecognised Segway Experience Voucher Code,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","When I attempted to redeem my segway voucher, I got 'voucher unrecognised' from the segway site. Tried to contact segway but the office was closed despite it being within the opening hours. I then contacted buyagift. I was first told the experience was no longer being offered, then that it was, then to try in an incognito tab, then that my voucher was valid, then that there was no availability. I was offered a credit to buy something else and was told I was outside the refund window. When I said I didn't want a different experience and did not wish to be forced to take an alternative I was told a refund had been requested. Given the level of support received I feel this was the best option although it was very disappointing but I couldn't risk losing that amount of money. I personally feel the problem with the voucher code could and should have been resolved which would have been a positive outcome for both myself and buyagift. I did not feel the advisor really tried to get to the bottom of the problem. Online chat only is a very poor contact option. The responses from buyagift to the trustpilot reviews also mean absolutely nothing."

5,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-11,Diane,Quick and easy to use,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!","Quick and easy to use and buy, no hassle.   Choice of numerous experiences"

4,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-12,Alex,Tea at Patisserie Valerie was good,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",Tea at Patisserie Valerie was good. Good selection of sandwiches and cakes. Service was prompt. This was the most convenient location to where I lived.

4,Buyagift,"['Hotel', 'Adventure Sports', 'Racetrack', 'Corporate gift supplier', 'Day spa', 'Restaurant']",3.8,2024-01-09,Sheena,Afternoon tea in Falkirk,"Buyagift is the UK's leading provider of gift experiences, unique gift ideas and fabulous traditional gifts - all at great prices. Find the perfect gift for every taste and budget here!",We had afternoon tea in Falkirk. The service was very good and food was lovely. The hotel room we were in was nice with windows around it. Could have been a bit warmer.

